name,type,aggregatable,description,"raw / calculated"
commit_date,date,true,"Date when committer made this commit.","Data Source / Parsed"
commit_tags,keyword,true,"One or several tag(s) associate to the commit.","GrimoireLab"
committer_domain,keyword,true,"Committer domain.","GrimoireLab / SortingHat"
committer_name,keyword,true,"Committer name.","GrimoireLab / SortingHat"
demography_max_date,date,true,"Date of the latest contribution (commit) of the corresponding author. Available only when demography study is active.","GrimoireLab"
demography_min_date,date,true,"Date of the first (oldest) contribution (commit) of the corresponding author. Available only when demography study is active.","GrimoireLab"
files,long,true,"Number of files touched by this commit.","GrimoireLab"
github_repo,keyword,true,"GitHub repository, if applies.","Data Source / Parsed"
grimoire_creation_date,date,true,"Commit date (when the original author made the commit).","Data Source / Parsed"
hash_short,keyword,true,"Shorten commit hash.","Data Source / Parsed"
hash,keyword,true,"Commit hash.","Data Source / Parsed"
is_git_commit,long,true,"Field containing '1' that allows to sum fields when concatenating with other indexes.","GrimoireLab"
lines_added,long,true,"Number of lines added by this commit.","GrimoireLab"
lines_changed,long,true,"Number of lines changed by this commit.","GrimoireLab"
lines_removed,long,true,"Number of lines removed by this commit.","GrimoireLab"
message_analyzed,text,false,"Commit message split by terms to allow searching.","Data Source / Parsed"
message,keyword,true,"Commit message as a single String.","Data Source / Parsed"
metadata__enriched_on,date,true,"Date when the item was enriched.","GrimoireLab"
metadata__gelk_backend_name,keyword,true,"Name of the backend used to enrich information.","GrimoireLab"
metadata__gelk_version,keyword,true,"Version of the backend used to enrich information.","GrimoireLab"
metadata__timestamp,date,true,"Date when the item was stored in RAW index.","GrimoireLab"
metadata__updated_on,date,true,"Date when the item was updated in its original data source.","GrimoireLab"
non_authored_acked_by_multi_bots,boolean,true,"List of true if the given acked authors are identified as bots excluding the commit author.","GrimoireLab / SortingHat"
non_authored_acked_by_multi_domains,keyword,true,"List of domains associated to the acked authors in SortingHat profile excluding the commit author.","GrimoireLab / SortingHat"
non_authored_acked_by_multi_names,keyword,true,"List of acked authors' names excluding the commit author.","GrimoireLab / SortingHat"
non_authored_acked_by_multi_org_names,keyword,true,"List of the acked author organizations from SortingHat profile excluding the commit author.","GrimoireLab / SortingHat"
non_authored_acked_by_multi_uuids,keyword,true,"List of the acked authors UUID from SortingHat excluding the commit author.","GrimoireLab / SortingHat"
non_authored_co_developed_by_multi_bots,boolean,true,"List of true if the given co-developed authors are identified as bots excluding the commit author.","GrimoireLab / SortingHat"
non_authored_co_developed_by_multi_domains,keyword,true,"List of domains associated to the co-developed authors in SortingHat profile excluding the commit author.","GrimoireLab / SortingHat"
non_authored_co_developed_by_multi_names,keyword,true,"List of co-developed authors' names excluding the commit author.","GrimoireLab / SortingHat"
non_authored_co_developed_by_multi_org_names,keyword,true,"List of the co-developed author organizations from SortingHat profile excluding the commit author.","GrimoireLab / SortingHat"
non_authored_non_authored_co_developed_by_multi_uuids,keyword,true,"List of the co-developed authors UUID from SortingHat excluding the commit author.","GrimoireLab / SortingHat"
non_authored_non_authored_non_authored_non_authored_non_authored_non_authored_non_authored_reported_by_multi_org_names,keyword,true,"List of the reported author organizations from SortingHat profile excluding the commit author.","GrimoireLab / SortingHat"
non_authored_non_authored_non_authored_non_authored_non_authored_non_authored_reported_by_multi_names,keyword,true,"List of reported authors' names excluding the commit author.","GrimoireLab / SortingHat"
non_authored_non_authored_non_authored_reviewed_by_multi_names,keyword,true,"List of reviewed authors' names excluding the commit author.","GrimoireLab / SortingHat"
non_authored_reported_by_multi_bots,boolean,true,"List of true if the given reported authors are identified as bots excluding the commit author.","GrimoireLab / SortingHat"
non_authored_reported_by_multi_domains,keyword,true,"List of domains associated to the reported authors in SortingHat profile excluding the commit author.","GrimoireLab / SortingHat"
non_authored_reported_by_multi_uuids,keyword,true,"List of the reported authors UUID from SortingHat excluding the commit author.","GrimoireLab / SortingHat"
non_authored_reviewed_by_multi_bots,boolean,true,"List of true if the given reviewed authors are identified as bots excluding the commit author.","GrimoireLab / SortingHat"
non_authored_reviewed_by_multi_domains,keyword,true,"List of domains associated to the reviewed authors in SortingHat profile excluding the commit author.","GrimoireLab / SortingHat"
non_authored_reviewed_by_multi_org_names,keyword,true,"List of the reviewed author organizations from SortingHat profile excluding the commit author.","GrimoireLab / SortingHat"
non_authored_reviewed_by_multi_uuids,keyword,true,"List of the reviewed authors UUID from SortingHat excluding the commit author.","GrimoireLab / SortingHat"
non_authored_signed_off_by_multi_bots,boolean,true,"List of true if the given signed off authors are identified as bots excluding the commit author.","GrimoireLab / SortingHat"
non_authored_signed_off_by_multi_domains,keyword,true,"List of domains associated to the signed off authors in SortingHat profile excluding the commit author.","GrimoireLab / SortingHat"
non_authored_signed_off_by_multi_names,keyword,true,"List of signed off authors' names excluding the commit author.","GrimoireLab / SortingHat"
non_authored_signed_off_by_multi_org_names,keyword,true,"List of the signed off author organizations from SortingHat profile excluding the commit author.","GrimoireLab / SortingHat"
non_authored_signed_off_by_multi_uuids,keyword,true,"List of the signed off authors UUID from SortingHat excluding the commit author.","GrimoireLab / SortingHat"
non_authored_suggested_by_multi_bots,boolean,true,"List of true if the given suggested authors are identified as bots excluding the commit author.","GrimoireLab / SortingHat"
non_authored_suggested_by_multi_domains,keyword,true,"List of domains associated to the suggested authors in SortingHat profile excluding the commit author.","GrimoireLab / SortingHat"
non_authored_suggested_by_multi_names,keyword,true,"List of suggested authors' names excluding the commit author.","GrimoireLab / SortingHat"
non_authored_suggested_by_multi_org_names,keyword,true,"List of the suggested author organizations from SortingHat profile excluding the commit author.","GrimoireLab / SortingHat"
non_authored_suggested_by_multi_uuids,keyword,true,"List of the suggested authors UUID from SortingHat excluding the commit author.","GrimoireLab / SortingHat"
non_authored_tested_by_multi_bots,boolean,true,"List of true if the given tested authors are identified as bots excluding the commit author.","GrimoireLab / SortingHat"
non_authored_tested_by_multi_domains,keyword,true,"List of domains associated to the tested authors in SortingHat profile excluding the commit author.","GrimoireLab / SortingHat"
non_authored_tested_by_multi_names,keyword,true,"List of tested authors' names excluding the commit author.","GrimoireLab / SortingHat"
non_authored_tested_by_multi_org_names,keyword,true,"List of the tested author organizations from SortingHat profile excluding the commit author.","GrimoireLab / SortingHat"
non_authored_tested_by_multi_uuids,keyword,true,"List of the tested authors UUID from SortingHat excluding the commit author.","GrimoireLab / SortingHat"
origin,keyword,true,"Original URL where the repository was retrieved from.","Data Source / Parsed"
project_1,keyword,true,"Project (if more than one level is allowed in project hierarchy)","GrimoireLab"
project,keyword,true,"Project.","GrimoireLab"
repo_name,keyword,true,"Repository name.","Data Source / Parsed"
reported_by_multi_bots,boolean,true,"List of true if the given reported authors are identified as bots.","GrimoireLab / SortingHat"
reported_by_multi_domains,keyword,true,"List of domains associated to the reported authors in SortingHat profile.","GrimoireLab / SortingHat"
reported_by_multi_names,keyword,true,"List of reported authors' names.","GrimoireLab / SortingHat"
reported_by_multi_org_names,keyword,true,"List of the reported author organizations from SortingHat profile.","GrimoireLab / SortingHat"
reported_by_multi_uuids,keyword,true,"List of the reported authors UUID from SortingHat.","GrimoireLab / SortingHat"
repository_labels,keyword,true,"Custom repository labels defined by the user.","Data Source / Parsed"
reviewed_by_multi_bots,boolean,true,"List of true if the given reviewed authors are identified as bots.","GrimoireLab / SortingHat"
reviewed_by_multi_domains,keyword,true,"List of domains associated to the reviewed authors in SortingHat profile.","GrimoireLab / SortingHat"
reviewed_by_multi_names,keyword,true,"List of reviewed authors' names.","GrimoireLab / SortingHat"
reviewed_by_multi_org_names,keyword,true,"List of the reviewed author organizations from SortingHat profile.","GrimoireLab / SortingHat"
reviewed_by_multi_uuids,keyword,true,"List of the reviewed authors UUID from SortingHat.","GrimoireLab / SortingHat"
signed_off_by_multi_bots,boolean,true,"List of true if the given signed off authors are identified as bots.","GrimoireLab / SortingHat"
signed_off_by_multi_domains,keyword,true,"List of domains associated to the signed off authors in SortingHat profile.","GrimoireLab / SortingHat"
signed_off_by_multi_names,keyword,true,"List of signed off authors' names.","GrimoireLab / SortingHat"
signed_off_by_multi_org_names,keyword,true,"List of the signed off author organizations from SortingHat profile.","GrimoireLab / SortingHat"
signed_off_by_multi_uuids,keyword,true,"List of the signed off authors UUID from SortingHat.","GrimoireLab / SortingHat"
suggested_by_multi_bots,boolean,true,"List of true if the given suggested authors are identified as bots.","GrimoireLab / SortingHat"
suggested_by_multi_domains,keyword,true,"List of domains associated to the suggested authors in SortingHat profile.","GrimoireLab / SortingHat"
suggested_by_multi_names,keyword,true,"List of suggested authors' names.","GrimoireLab / SortingHat"
suggested_by_multi_org_names,keyword,true,"List of the suggested author organizations from SortingHat profile.","GrimoireLab / SortingHat"
suggested_by_multi_uuids,keyword,true,"List of the suggested authors UUID from SortingHat.","GrimoireLab / SortingHat"
tag,keyword,true,"Perceval tag.","Data Source / Parsed"
tested_by_multi_bots,boolean,true,"List of true if the given tested authors are identified as bots.","GrimoireLab / SortingHat"
tested_by_multi_domains,keyword,true,"List of domains associated to the tested authors in SortingHat profile.","GrimoireLab / SortingHat"
tested_by_multi_names,keyword,true,"List of tested authors' names.","GrimoireLab / SortingHat"
tested_by_multi_org_names,keyword,true,"List of the tested author organizations from SortingHat profile.","GrimoireLab / SortingHat"
tested_by_multi_uuids,keyword,true,"List of the tested authors UUID from SortingHat.","GrimoireLab / SortingHat"
time_to_commit_hours,long,true,"Time in hours from author date (when commit was originally created) to commit date (when the commit was made to the repository).","GrimoireLab"
title,keyword,true,"Commit title.","Data Source / Parsed"
tz,long,true,"Timezone in which the commit was made by its original author.","Data Source / Parsed"
utc_author_hour,date,true,"Hour of the day when the author made the commit in UTC.","Data Source / Parsed"
utc_author_weekday,long,true,"Day of the week when the author made the commit in UTC.","Data Source / Parsed"
utc_author,date,true,"Author date (when the original author made the commit) in UTC.","Data Source / Parsed"
utc_commit_hour,date,true,"Hour of the day when the committer made the commit in UTC.","Data Source / Parsed"
utc_commit_weekday,long,true,"Day of the week when the committer made the commit in UTC.","Data Source / Parsed"
utc_commit,date,true,"Commit date in UTC.","Data Source / Parsed"
uuid,keyword,true,"Perceval UUID.","GrimoireLab"
